member_id,first_name,middle_name,last_name,address,City,State,zip,phones,email,gender,date_of_birth,year_of_birth
1001,Rahul,Murad,Tyagi,"8780 A, Street",Silvassa,Madhya Pradesh,36535,8376757228,velit.eu@google.co,Male,8/7/2022,2022
1001,Rahul,Murad,Tyagi,"8780 A, Street",Silvassa,Madhya Pradesh,36535,8376757228,velit.eu@google.co,Male,8/7/2022,2022
1001,Rahul,Murad,Tyagi,"8780 A, Street",Silvassa,Madhya Pradesh,36535,8376757228,velit.eu@google.co,Male,8/7/2022,2022
1002,Ninad,Pravin,Joshi,"P.O. Box 951, 7570 Ipsum. Ave",Nagaon,Karnataka,9166,9367167681,sodales.purusyahoo.co,Male,4/22/2010,2010
1003,Kanchana,Lochan,Sen,"247-1088 Ornare, Rd.",Kohima,Karnataka,76525,9834595037,nunc.pulvinar.arcu@google.com,Female,7/24/2024,2024
1004,Ila,Nikhil,Jai,7789 Imperdiet Street,Itanagar,Uttarakhand,96048,9794127424,aliquam@outlook.co,Female,4/25/2023,2023
1005,Narayana,Rama,Vish,"P.O. Box 978, 1675 Nulla Road",Solapur,Daman and Diu,81542,7576378768,urna.nullam@hotmail.org,Male,1/29/2017,2017
1006,Drishti,Murali,Nara,479-3442 Lorem Ave,Bilaspur,Goa,96955,8061857731,tellus.justo@icloud.co,Female,7/4/2024,2024
1007,Vasudha,Swarna,Subramani,2626 Magna Rd.,Imphal,Uttarakhand,18912,9635113903,amet.ultricies@google.co,,6/17/2024,2024
1008,Mira,Dev,Sudha,130-112 Risus. Av.,Shimla,Tamil Nadu,13037,8080442784,consectetuer.mauris@outlook.co,Female,4/9/2023,2023
1009,Krishna,Dayaram,Nara,Ap #357-275 Orci Rd.,Gwalior,Karnataka,98772,9158148681,dignissim.magnahotmail.org,Male,1/29/2011,2011
1010,Sona,Hardeep,Sai,"P.O. Box 562, 5835 Lacinia Rd.",Port Blair,Chandigarh,67852,96631642115,ornare.placerathotmail.co,Female,11/7/2023,2023
1011,Nisha,Abbas,Lata,"Ap #529-2490 Vitae, Road",Silchar,Madhya Pradesh,18256,8085747352,ipsum@hotmail.org,,10/6/2024,2024
1012,Farhan,Zahir,Vijaya,232-7468 Tristique Street,New Bombay,Dadra and Nagar Haveli,94312,8178215588,cras.vulputate.velit@hotmail.com,Male,10/9/2007,2007
1013,Jaswinder,Dhaval,Krishnamurthy,"462-5862 Lorem, Rd.",Kohima,Chhattisgarh,96582,9747741721,vehicula.aliquet@hotmail.co,,4/1/2023,2023
1014,Amit,Ravindra,Goel,905-4160 Dictum Street,Itanagar,Rajasthan,62550,8114613583,eu.euismod@outlook.net,Male,2/27/2007,2007
1015,Reva,Chandan,,Ap #262-4774 Blandit St.,Daman,Rajasthan,57389,7875545811,imperdiet.nec@outlook.co,Female,2/20/2025,2025
1016,Rahul,Khan,Kapoor,1609 Tristique Rd.,Kohima,Uttarakhand,74190,9161427768,ut@icloud.net,Male,8/27/2021,2021
1017,Arushi,Aravind,Nath,"P.O. Box 452, 9282 Non Ave",Agartala,Himachal Pradesh,87083,73239185948,in.lorem.donecoutlook.net,Female,5/26/2023,2023
1018,Ezhil,Ankur,Persaud,Ap #991-490 Cras Road,Silvassa,Karnataka,36955,9772733643,nullam.vitae@google.com,Female,11/5/2023,2023
1019,Narayana,Amarjeet,Sharma,"P.O. Box 850, 1846 Venenatis Ave",Morena,Punjab,66453,7581629807,feugiat.tellus.loremoutlook.net,Male,3/12/2006,2006
1020,Esha,Kalyan,Soni,5651 Hendrerit. Rd.,Shillong,Uttar Pradesh,72506,9558644566,donec.egestas@yahoo.net,Female,6/15/2024,2024
1021,Lalita,Suraj,Sethi,391-4378 Dolor Rd.,Bhimavaram,Jammu and Kashmir,10414,9673804267,egestas@yahoo.net,Female,9/1/2024,2024
1022,Kshitij,Darshan,Sehgal,"P.O. Box 553, 2971 Odio Rd.",Rewa,Dadra and Nagar Haveli,62444,9317087630,integer.mollis@yahoo.com,Male,8/27/2016,2016
1023,Swarna,Shandar,Lalit,226-4125 Cras Rd.,Kohima,Andaman and Nicobar Islands,74732,9174376630,enim.consequat@yahoo.co,Male,7/1/2025,2025
1024,Sandip,Sher,Nara,Ap #217-1592 Ac Street,Itanagar,Lakshadweep,39147,7512325628,molestie.orci@icloud.com,Male,3/18/2017,2017
1025,Saira,Chiranjvi,Nita,315-2477 Fusce Rd.,Panjim,Haryana,64901,7872368386,donec@icloud.net,Female,9/23/2024,2024
1026,Nitya,Zawar,Mehta,429 Risus Avenue,Agartala,Mizoram,25886,7817457737,sed.dui.fusce@icloud.net,Female,4/7/2023,2023
1027,Ila,Kanta,Rai,"P.O. Box 546, 1522 Porttitor Rd.",Agartala,Assam,39728,99614228852,fringillayahoo.co,Female,2/13/2025,2025
1028,Purnima,Dayaram,Sethi,636-9669 Duis St.,Agartala,Gujarat,86956,9516568455,et.malesuada@outlook.com,Female,5/20/2024,2024
1029,Sultan,Mahmud,Krishnamurthy,Ap #958-9010 Facilisis Avenue,Hubli,Bihar,89949,8144558315,in.dolor@outlook.com,,1/11/2020,2020
1030,Navneet,Roshan,Arun,118-5962 Sit Road,Patiala,Pondicherry,40659,8382737434,morbi.metus.vivamus@hotmail.co,Male,5/18/2022,2022
