MEMBER_ID,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,MIDDLE_NAME,GENDER,DOB,RELATIONSHIP,PERSON_CODE,RACE,ETHNICITY,ADDRESS_1,ADDRESS_2,CITY,STATE,COUNTY,ZIP
173400,160951,Freya,Lynn,Marlys,0,1988-02-23,S,02,white,nonhispanic,771 Kirlin Haven,,Attleboro,Massachusetts,Bristol County,02703
83300,160951,Candice,Padilla,,0,1964-12-10,F,03,white,nonhispanic,182 Trantow Mission Unit 20,,Bellingham,Massachusetts,Norfolk County,
106800,111325,Leanne,Swanson,,0,2015-05-28,D2,16,white,nonhispanic,686 Shields Dam,,Easthampton,Massachusetts,Hampshire County,
52900,114177,Millicent,Byrne,,0,1948-04-22,N,13,white,nonhispanic,1009 DuBuque Ville Unit 54,,Springfield,Massachusetts,Hampden County,01106
97600,117067,Charley,Lynn,,0,1976-01-12,A1,11,white,nonhispanic,114 Cummerata Parade,,West Tisbury,Massachusetts,Dukes County,
22000,12745,Flynn,Morrison,,0,1989-03-30,M,04,white,nonhispanic,164 Stokes Lodge Apt 34,,Winchendon,Massachusetts,Worcester County,01475
22900,13466,Pauline,Knight,,0,2019-05-09,N,13,white,nonhispanic,376 Skiles Forge Suite 48,,Westminster,Massachusetts,Worcester County,
122500,135688,Elspeth,Gonzalez,Marliss,0,2014-09-09,C2,06,asian,hispanic,570 Nikolaus Wynd,,Cambridge,Massachusetts,Middlesex County,02139
21800,13587,Amelie,Harmon,,0,1984-04-08,D2,16,other,nonhispanic,958 Robel Run Unit 83,,Carver,Massachusetts,Plymouth County,
145000,138507,Laura,Montoya,,0,2010-03-29,F,03,white,nonhispanic,1094 Keebler Grove,,Gardner,Massachusetts,Worcester County,01440
150400,151731,Jayden,Kane,,0,2019-07-08,F,03,white,hispanic,1054 Price Glen,,Haverhill,Massachusetts,Essex County,01835
114100,152105,Safa,Kelly,,0,1991-08-21,G3,09,white,hispanic,765 Russel Pathway Unit 82,,Spencer,Massachusetts,Worcester County,01562
201500,153303,Anika,Washington,Merla,0,2002-03-08,F,03,black,nonhispanic,815 Rau Ramp,,Boston,Massachusetts,Suffolk County,02109
215600,158915,Inayah,Evans,,0,1988-06-28,G3,09,white,nonhispanic,282 Roberts Brook Suite 29,,Dartmouth,Massachusetts,Bristol County,
216900,160951,Aurora,Lawson,,0,2012-10-04,E,01,white,nonhispanic,194 Robel Skyway,,Boston,Massachusetts,Suffolk County,02124
207000,166936,Robyn,Stewart,,0,1957-10-19,D1,15,white,nonhispanic,306 Aufderhar Grove Unit 79,,Palmer,Massachusetts,Hampden County,
124700,168886,Lena,Pearce,,0,1961-06-22,A1,11,white,nonhispanic,610 Harber Rapid Unit 87,,Greenfield,Massachusetts,Franklin County,
222700,170319,Kane,Hardin,,0,2016-01-29,E,01,asian,hispanic,971 Balistreri Vale Unit 75,,Southborough,Massachusetts,Worcester County,
190000,170319,Noor,Merritt,Melody,0,1954-02-18,A2,12,white,nonhispanic,970 Johnston Drive Apt 25,,Worcester,Massachusetts,Worcester County,01583
182000,170319,Khadijah,Johnston,,0,2003-06-09,D2,16,white,nonhispanic,252 Heller Manor Suite 56,,Attleboro,Massachusetts,Bristol County,02861
139000,170319,Katy,Dalton,,0,1983-10-07,A1,11,white,nonhispanic,999 Kuhn Forge,,Lowell,Massachusetts,Middlesex County,01851
157100,170319,Aminah,Wall,,0,2007-09-19,G4,10,white,hispanic,984 Kuhic Bay Apt 19,,Agawam,Massachusetts,Hampden County,01030
110800,209109,Hollie,Eaton,,0,1997-09-20,M,04,white,nonhispanic,652 Kovacek Trailer Suite 29,,Lenox,Massachusetts,Berkshire County,01240
158600,213741,Siobhan,Lin,,0,2008-01-24,A2,12,white,nonhispanic,611 Williamson Loaf Apt 44,,Somerville,Massachusetts,Middlesex County,02138
190600,215316,Marley,Zamora,,0,1950-06-05,A2,12,black,hispanic,289 Brown Glen Unit 6,,Revere,Massachusetts,Suffolk County,02151
21700,22190,Alessia,Romero,Mariel,0,1967-07-12,G4,10,white,nonhispanic,913 Schiller Well Apt 80,,Burlington,Massachusetts,Middlesex County,01803
