id	phone	usage_type
70001	(455) 3130004	Work
70002	(994) 4561640	Work
70003	(771) 6498755	Work
70004	(450) 8886723	Work
70005	(423) 1700133	Work
70006	(334) 1254061	Work
70007	(915) 7431041	Work
70008	(816) 4980330	Work
70009	(460) 8203658	Work
70010	(577) 3110757	Work
70011	(530) 6708617	Work
70012	(843) 1974981	Work
70013	(602) 3129571	Work
70014	(844) 3426438	Work
70016	(402) 3025907	Work
70017	(304) 6146445	Work
70018	(432) 9954065	Work
70019	(283) 7665423	Work
70020	(436) 3907382	Work
70021	(875) 4821793	Work
70023	(804) 8286823	Work
70024	(169) 5971377	Work
70025	(700) 9537361	Work
70026	(432) 8408426	Work
70027	(200) 8357532	Work
70028	(373) 8100389	Work
70029	(901) 4833953	Work
70030	(493) 8586602	Work
70031	(140) 5556248	Work
70032	(969) 8335867	Work
70033	(152) 8856209	Work
70034	(704) 6496831	Work
70035	(239) 9735711	Work
70036	(457) 2054505	Work
70037	(760) 3696232	Work
70038	(387) 1030793	Work
70039	(349) 5568072	Work
70040	(624) 6493272	Work
70041	(156) 9082573	Work
70042	(841) 7605452	Work
70043	(632) 4615506	Work
70044	(272) 5118514	Work
70045	(365) 3934285	Work
70046	(425) 6723128	Work
70047	(111) 7470462	Work
70048	(110) 8736181	Work
70049	(166) 7900762	Work
70050	(859) 2765794	Work
70051	(278) 5711286	Work
70052	(202) 9910431	Work
70053	(770) 7841335	Work
70054	(273) 9130791	Work
70055	(841) 5754313	Work
70056	(244) 1090752	Work
70057	(516) 3835287	Work
70058	(218) 2708144	Work
70059	(351) 1330694	Work
70060	(701) 2817869	Work
70061	(545) 4903905	Work
70062	(529) 2590751	Work
70063	(890) 7553366	Work
70064	(177) 4988691	Work
70065	(655) 2087320	Work
70066	(248) 2991893	Work
70067	(168) 4911431	Work
70068	(137) 5432373	Work
70069	(243) 1677666	Work
70070	(375) 6316681	Work
70071	(973) 2319174	Work
70072	(968) 5887173	Work
70073	(613) 2454548	Work
70074	(286) 3282457	Work
70075	(309) 6321187	Work
70076	(164) 9545635	Work
70077	(950) 6799968	Work
70078	(817) 7333970	Work
70079	(474) 4252291	Work
70080	(388) 4248195	Work
70081	(941) 5119701	Work
70082	(943) 4179410	Work
70083	(805) 8301827	Work
70084	(971) 8307030	Work
70085	(477) 3314689	Work
70086	(136) 8334019	Work
70087	(780) 6124417	Work
70088	(851) 1732928	Work
70089	(156) 8590163	Work
70090	(200) 1258643	Work
70091	(763) 9713769	Work
70092	(387) 5123892	Work
70093	(424) 1259326	Work
70094	(665) 8899952	Work
70095	(609) 3334097	Work
70096	(998) 7072824	Work
